מספר_העלאה,סוג,שעה_דימוי,תת,קרוסלה,מס_שקפים,קבצים,סטטוס
1,קרוסלת רבדים,tw19 · 07:00,,כן,4,001.jpg 001a.jpg 001b.jpg 001c.jpg,
2,קיר,tw19 · 07:00,,לא,1,002.jpg,
3,קרוסלת דמויות ועצמים,tw19 · 07:00,,כן,4,003.jpg 003a.jpg 003b.jpg 003c.jpg,
4,פיצול-9,tw19 · 07:00,9,לא,1,004.jpg,
5,פיצול-9,tw19 · 07:00,8,לא,1,005.jpg,
6,פיצול-9,tw19 · 07:00,7,לא,1,006.jpg,
7,פיצול-9,tw19 · 07:00,6,לא,1,007.jpg,
8,פיצול-9,tw19 · 07:00,5,לא,1,008.jpg,
9,פיצול-9,tw19 · 07:00,4,לא,1,009.jpg,
10,פיצול-9,tw19 · 07:00,3,לא,1,010.jpg,
11,פיצול-9,tw19 · 07:00,2,לא,1,011.jpg,
12,פיצול-9,tw19 · 07:00,1,לא,1,012.jpg,
13,טריפטיך שעה,07:00,3,לא,1,013.jpg,
14,טריפטיך שעה,07:00,2,לא,1,014.jpg,
15,טריפטיך שעה,07:00,1,לא,1,015.jpg,
16,קרוסלת רבדים,tw18 · 05:00,,כן,4,016.jpg 016a.jpg 016b.jpg 016c.jpg,
17,קיר,tw18 · 05:00,,לא,1,017.jpg,
18,קרוסלת דמויות ועצמים,tw18 · 05:00,,כן,5,018.jpg 018a.jpg 018b.jpg 018c.jpg 018d.jpg,
19,פיצול-9,tw18 · 05:00,9,לא,1,019.jpg,
20,פיצול-9,tw18 · 05:00,8,לא,1,020.jpg,
21,פיצול-9,tw18 · 05:00,7,לא,1,021.jpg,
22,פיצול-9,tw18 · 05:00,6,לא,1,022.jpg,
23,פיצול-9,tw18 · 05:00,5,לא,1,023.jpg,
24,פיצול-9,tw18 · 05:00,4,לא,1,024.jpg,
25,פיצול-9,tw18 · 05:00,3,לא,1,025.jpg,
26,פיצול-9,tw18 · 05:00,2,לא,1,026.jpg,
27,פיצול-9,tw18 · 05:00,1,לא,1,027.jpg,
28,טריפטיך שעה,05:00,3,לא,1,028.jpg,
29,טריפטיך שעה,05:00,2,לא,1,029.jpg,
30,טריפטיך שעה,05:00,1,לא,1,030.jpg,
31,קרוסלת רבדים,tw17 · 05:00,,כן,4,031.jpg 031a.jpg 031b.jpg 031c.jpg,
32,קיר,tw17 · 05:00,,לא,1,032.jpg,
33,קרוסלת דמויות ועצמים,tw17 · 05:00,,כן,5,033.jpg 033a.jpg 033b.jpg 033c.jpg 033d.jpg,
34,פיצול-9,tw17 · 05:00,9,לא,1,034.jpg,
35,פיצול-9,tw17 · 05:00,8,לא,1,035.jpg,
36,פיצול-9,tw17 · 05:00,7,לא,1,036.jpg,
37,פיצול-9,tw17 · 05:00,6,לא,1,037.jpg,
38,פיצול-9,tw17 · 05:00,5,לא,1,038.jpg,
39,פיצול-9,tw17 · 05:00,4,לא,1,039.jpg,
40,פיצול-9,tw17 · 05:00,3,לא,1,040.jpg,
41,פיצול-9,tw17 · 05:00,2,לא,1,041.jpg,
42,פיצול-9,tw17 · 05:00,1,לא,1,042.jpg,
43,טריפטיך שעה,05:00,3,לא,1,043.jpg,
44,טריפטיך שעה,05:00,2,לא,1,044.jpg,
45,טריפטיך שעה,05:00,1,לא,1,045.jpg,
46,קרוסלת רבדים,tw16 · 03:00,,כן,4,046.jpg 046a.jpg 046b.jpg 046c.jpg,
47,קיר,tw16 · 03:00,,לא,1,047.jpg,
48,קרוסלת דמויות ועצמים,tw16 · 03:00,,כן,5,048.jpg 048a.jpg 048b.jpg 048c.jpg 048d.jpg,
49,פיצול-9,tw16 · 03:00,9,לא,1,049.jpg,
50,פיצול-9,tw16 · 03:00,8,לא,1,050.jpg,
51,פיצול-9,tw16 · 03:00,7,לא,1,051.jpg,
52,פיצול-9,tw16 · 03:00,6,לא,1,052.jpg,
53,פיצול-9,tw16 · 03:00,5,לא,1,053.jpg,
54,פיצול-9,tw16 · 03:00,4,לא,1,054.jpg,
55,פיצול-9,tw16 · 03:00,3,לא,1,055.jpg,
56,פיצול-9,tw16 · 03:00,2,לא,1,056.jpg,
57,פיצול-9,tw16 · 03:00,1,לא,1,057.jpg,
58,טריפטיך שעה,03:00,3,לא,1,058.jpg,
59,טריפטיך שעה,03:00,2,לא,1,059.jpg,
60,טריפטיך שעה,03:00,1,לא,1,060.jpg,
61,קרוסלת רבדים,tw15 · 03:00,,כן,4,061.jpg 061a.jpg 061b.jpg 061c.jpg,
62,קיר,tw15 · 03:00,,לא,1,062.jpg,
63,קרוסלת דמויות ועצמים,tw15 · 03:00,,כן,5,063.jpg 063a.jpg 063b.jpg 063c.jpg 063d.jpg,
64,פיצול-9,tw15 · 03:00,9,לא,1,064.jpg,
65,פיצול-9,tw15 · 03:00,8,לא,1,065.jpg,
66,פיצול-9,tw15 · 03:00,7,לא,1,066.jpg,
67,פיצול-9,tw15 · 03:00,6,לא,1,067.jpg,
